Drug_A,Drug_B,Level
Metyrapone,Estrone sulfate (topical),Moderate
Glasdegib,Opium,No Interaction
Imipenem,Vinblastine,No Interaction
Etidronic acid,Regorafenib,No Interaction
Fondaparinux,Uracil mustard,No Interaction
Oxazepam,Ethanol,Moderate
Phentolamine,Perphenazine,Moderate
Certolizumab pegol,Ramelteon,No Interaction
Temazepam,Magnesium carbonate,Minor
Gadoversetamide,Doxazosin,Unknown
Oxymetazoline (topical),Methylene blue,Moderate
Epinephrine (ophthalmic),Nelarabine,No Interaction
Promethazine,Opium,Moderate
Didanosine,Tadalafil,No Interaction
Doravirine,Terfenadine,No Interaction
Interferon beta-1a,Valproic acid,No Interaction
Diatrizoate,Celecoxib,Major
Lisdexamfetamine,Pentobarbital,No Interaction
Methylergometrine,Trimethoprim,No Interaction
Gadodiamide,Lisinopril,Unknown
Enalapril,Sevelamer,Unknown
Aclidinium,Budesonide,No Interaction
Binimetinib,Burosumab,No Interaction
Pexidartinib,Vortioxetine,No Interaction
Indinavir,Galactose,Unknown
Alemtuzumab,Cobicistat,No Interaction
Dexrazoxane,Pralatrexate,No Interaction
Bicalutamide,Cemiplimab,No Interaction
Pilocarpine (ophthalmic),Torasemide,No Interaction
Nystatin,Tramadol,No Interaction
Lepirudin,Letrozole,No Interaction
Iobenguane (I-131),Fingolimod,Major
Promethazine,Oliceridine,Moderate
Insulin detemir,Triflupromazine,No Interaction
Prednisolone,Heparin,Unknown
Lopinavir,Olmesartan,No Interaction
Aldesleukin,Dextroamphetamine,No Interaction
Deferiprone,Zanubrutinib,Major
Atezolizumab,Methscopolamine,No Interaction
Paramethadione,Thiothixene,No Interaction
Buprenorphine,Hemin,No Interaction
Buprenorphine,Satralizumab,No Interaction
Deferiprone,Zinc sulfate,Moderate
Avatrombopag,Dicyclomine,No Interaction
Tositumomab (I-131),Mumps virus strain B level jeryl lynn live antigen,Major
Tositumomab (I-131),Alefacept,Moderate
Apomorphine,Temsirolimus,No Interaction
Guanidine,Naloxegol,No Interaction
Betaxolol (ophthalmic),Iopamidol,Moderate
Gadodiamide,Vincristine,Unknown
Glimepiride,Diazoxide,Moderate
Docetaxel,Trazodone,No Interaction
Didanosine,Deferiprone,Moderate
Chlorhexidine,Clonazepam,No Interaction
Nitazoxanide,Picosulfuric acid,No Interaction
Demeclocycline,Eptifibatide,No Interaction
Cisplatin,Iopromide,Major
Deferoxamine,Remdesivir,Moderate
Benzylpenicillin (potassium),Lasmiditan,No Interaction
Prednisolone,Canagliflozin,Moderate
Megestrol acetate,Nifedipine,No Interaction
Mercaptopurine,Tucatinib,No Interaction
Atazanavir,Magnesium carbonate,Moderate
Gadoteridol,Levobunolol (ophthalmic),Moderate
Tretinoin,Cobicistat,Moderate
Chlorpropamide,Mefloquine,No Interaction
Carvedilol,Thyrotropin alfa,No Interaction
Fomepizole,Sevoflurane,No Interaction
Dexamethasone (nasal),Methylnaltrexone,No Interaction
Pentoxifylline,Deferasirox,Moderate
Interferon beta-1b,Quazepam,No Interaction
Levocetirizine,Rosiglitazone,No Interaction
Moxetumomab Pasudotox,"Smallpox (Vaccinia) Vaccine, Live",No Interaction
Moxifloxacin,Tolbutamide,Major
Gemfibrozil,Selexipag,No Interaction
Calaspargase pegol,Gefitinib,No Interaction
Cemiplimab,Esmolol,No Interaction
Pantoprazole,Prednisolone,Unknown
Diazepam,Pyrazinamide,No Interaction
Verapamil,Gadopentetic acid,Moderate
Metipranolol (ophthalmic),Gadobutrol,Moderate
Amitriptyline,Methylene blue,Major
Pentamidine,Tolcapone,No Interaction
Amiodarone,Cladribine,No Interaction
Isosorbide dinitrate,Methyl aminolevulinate (topical),No Interaction
Deserpidine,Iobenguane (I-123),Moderate
Promethazine,Nebivolol,Moderate
Safinamide,Sodium iodide,No Interaction
Colchicine,Raltegravir,No Interaction
Amifostine,Bupropion,Unknown
Folic acid,Lisinopril,Unknown
Fenoprofen,Nevirapine,No Interaction
Teniposide,Deferiprone,Major
Phentolamine,Propiomazine,Moderate
Iothalamic acid,Moxetumomab Pasudotox,Major
Mefenamic acid,Tolbutamide,Moderate
Chlorpropamide,Diazoxide,Moderate
Bupropion,Docetaxel,No Interaction
Doxepin,Iopamidol,Major
Antilymphocyte immunoglobulin (horse),Lomustine,No Interaction
Amphetamine,Iobenguane (I-123),Moderate
Guanethidine,Tripelennamine,No Interaction
Phentolamine,Insulin aspart (aspart protamine),Minor
Magnesium chloride,Magnesium carbonate,Moderate
Cefmetazole,Levobupivacaine,No Interaction
Fosaprepitant,Lisocabtagene maraleucel,No Interaction
Fluticasone,Verapamil,No Interaction
Prednisolone,Dinutuximab,Major
Bosentan,Acetylcysteine,Unknown
Ampicillin,Capromab pendetide,No Interaction
Vitamin A,Triamcinolone,Unknown
Insulin lispro (protamine),Tegaserod,No Interaction
Ibutilide,Nelarabine,No Interaction
Urea,Iopromide,Moderate
Linezolid,Amyl Nitrite,Moderate
Carmustine,Prednisolone,Unknown
Frovatriptan,Deferasirox,Moderate
Etonogestrel,Tetracaine (topical),No Interaction
Hyoscyamine,Ethanol,Moderate
Montelukast,Nilutamide,No Interaction
Diatrizoate,Amrinone,Moderate
Atomoxetine,Cemiplimab,No Interaction
Garlic,Rofecoxib,No Interaction
Palifermin,Lurbinectedin,Moderate
Methylphenobarbital,Levoleucovorin,Moderate
Iron,Melatonin,No Interaction
Ketoprofen,Phenoxymethylpenicillin,No Interaction
Methoxamine,Nefazodone,No Interaction
Budesonide,Cobicistat,Major
Antithrombin Alfa,Inotersen,No Interaction
Meticillin,Mifepristone,No Interaction
Prednisolone,Picosulfuric acid,Moderate
Halothane,Oxytetracycline,No Interaction
Tositumomab (I-131),Naproxen,Major
Antilymphocyte immunoglobulin (horse),Etacrynic acid,No Interaction
Nicardipine,Iothalamic acid,Moderate
Methsuximide,Levoleucovorin,Moderate
Ondansetron,Vinblastine,No Interaction
Quinine,Nitrous acid,Major
Ethanol,Metoclopramide,Moderate
Prednisolone,Granisetron,Unknown
Dantrolene,Tyropanoic acid,No Interaction
Mifepristone,Mivacurium,No Interaction
Promethazine,Levocetirizine,Moderate
Granisetron,Macimorelin,Major
Aminosalicylic acid,Etanercept,No Interaction
Dapagliflozin,Nitrous acid,Moderate
Fentanyl,Prednisolone,Unknown
Alefacept,Ethiodized oil,No Interaction
Dicyclomine,Promethazine,Moderate
Sermorelin,Semaglutide,Moderate
Folic acid,Sumatriptan,Unknown
Acarbose,Prednisolone,Moderate
Midazolam,Mannitol,Unknown
Isosorbide dinitrate,Nitrazepam,No Interaction
Peginterferon alfa-2a,Prednisone,No Interaction
Iodine,Phenindamine,No Interaction
Deferasirox,Ribociclib,Moderate
Amikacin,Upadacitinib,No Interaction
Lomustine,Maraviroc,No Interaction
Cytarabine,Strontium chloride Sr-89,Moderate
Furosemide,Iothalamic acid,Moderate
Sevelamer,Hydrocortisone,Unknown
Caffeine,Thiabendazole,Moderate
Apomorphine,Encorafenib,No Interaction
Brexucabtagene autoleucel,Heparin,No Interaction
Danaparoid,Iodide I-131,Moderate
Calcifediol,Levoleucovorin,No Interaction
Etanercept,Mesoridazine,No Interaction
Activated charcoal,Fulvestrant,No Interaction
Dolasetron,Macimorelin,Major
Nitroglycerin,Prednisolone,Unknown
Cyclandelate,Darolutamide,No Interaction
Clobazam,Flumazenil,Moderate
Dienestrol (topical),Fluorometholone (ophthalmic),No Interaction
Verapamil,Yellow Fever Vaccine,No Interaction
Diclofenamide,Iopromide,Moderate
Alemtuzumab,Guanethidine,No Interaction
Danazol,Olopatadine (nasal),No Interaction
Tapentadol,Iobenguane (I-123),Moderate
Chlorpromazine,Tolbutamide,Moderate
Metronidazole (topical),"Thyroid, porcine",No Interaction
Physostigmine,Tolterodine,Moderate
Folic acid,Isosorbide mononitrate,Unknown
Cidofovir,Iohexol,Major
Secretin human,Belladonna,Minor
Pyridostigmine,Zolmitriptan,No Interaction
Sulfamethoxazole,Trazodone,No Interaction
Calcium acetate,Tolevamer,Moderate
Ginseng,Physostigmine (ophthalmic),No Interaction
Delavirdine,Prednisolone (ophthalmic),Moderate
Esterified estrogens,Lopinavir,No Interaction
Bicalutamide,Kava,No Interaction
Neostigmine,Sodium bicarbonate,No Interaction
Cholecalciferol,Hydroflumethiazide,No Interaction
Enzalutamide,Zanubrutinib,No Interaction
Loratadine,Deferasirox,Moderate
Folic acid,Sulfamethoxazole,Moderate
Ethanol,Oxybutynin,Moderate
Cefdinir,Phenoxybenzamine,No Interaction
Ciclesonide (nasal),Silver sulfadiazine (topical),No Interaction
Folic acid,Methocarbamol,Unknown
Lisinopril,Nitrous acid,Moderate
Botulinum Toxin Type B,Griseofulvin,No Interaction
Levocetirizine,Picosulfuric acid,No Interaction
Methacholine,Amifampridine,Moderate
Tinzaparin,Iodide I-131,Moderate
Primidone,Vibrio cholerae CVD 103-HgR strain live antigen (live),No Interaction
Atomoxetine,Strontium chloride Sr-89,No Interaction
Indapamide,Pilocarpine,No Interaction
Promethazine,Acetylcholine,Moderate
Darunavir,Microcrystalline cellulose,No Interaction
Iron protein succinylate,Olaratumab,No Interaction
Remifentanil,Methylene blue,Major
Caffeine,Nystatin,Unknown
Phenylephrine (nasal),Sevoflurane,No Interaction
Digoxin Immune Fab (Ovine),Amiodarone,Major
Ipecac,Nalmefene,No Interaction
Potassium Iodide,Iodide I-123,Moderate
Atezolizumab,Flunisolide (nasal),No Interaction
Deutetrabenazine,Thiotepa,No Interaction
Cyanocobalamin,Triprolidine,No Interaction
Insulin human,Promethazine,Moderate
Oseltamivir,Pyridostigmine,No Interaction
Teniposide,Velpatasvir,No Interaction
Insulin human,Mephenytoin,No Interaction
Guanfacine,Diazoxide,Moderate
Oxycodone,Mannitol,Unknown
Granisetron,Urokinase,No Interaction
Cisplatin,Treprostinil,No Interaction
Alclometasone (topical),Zinc sulfate,No Interaction
Nelarabine,Iohexol,Major
Ethambutol,Indinavir,No Interaction
Guanethidine,Methylene blue,Moderate
Physostigmine,Alectinib,Moderate
Aluminum hydroxide,Norethisterone,No Interaction
Thioridazine,Iopamidol,Major
Diazepam,Methotrexate,No Interaction
Desonide (topical),Ethiodized oil,No Interaction
Leucovorin,Gentamicin,Unknown
Prednisolone,Guanfacine,Moderate
Labetalol,Ioversol,Moderate
Sucralfate,Prednisolone,Unknown
Semaglutide,Zidovudine,No Interaction
Leucovorin,Flecainide,Unknown
Gallium nitrate,Iothalamic acid,Major
Metolazone,Iohexol,Moderate
Tropicamide (ophthalmic),Physostigmine,Moderate
Mycophenolate mofetil,Tositumomab (I-131),No Interaction
Fentanyl,Naloxone,Moderate
Haloperidol,Iopamidol,Major
Mannitol,Dapagliflozin,Moderate
Ezetimibe,Acetylcysteine,Unknown
Ethanol,Deutetrabenazine,Moderate
Felbamate,Human botulinum neurotoxin A/B immune globulin,No Interaction
Oxymetazoline (topical),Plantago seed,No Interaction
Fluocinonide,Sevoflurane,No Interaction
Abemaciclib,Phenylbutazone,No Interaction
Desogestrel,Rasagiline,No Interaction
Phenacemide,Phylloquinone,No Interaction
Mivacurium,Tofacitinib,No Interaction
Lisinopril,Acetylcysteine,Unknown
Drospirenone,Cobicistat,Major
Gentamicin,Ranolazine,No Interaction
Clozapine,Tolbutamide,Moderate
Colchicine,Deferasirox,Moderate
Prednisolone,Cenobamate,Moderate
Secobarbital,Prednisolone,Moderate
Olanzapine,Acetylcysteine,Unknown
Felodipine,Acetylcysteine,Unknown
Cyclosporine,Acetylcysteine,Unknown
Clobazam,Iodide I-123,Moderate
Metoprolol,Diatrizoate,Moderate
Benazepril,Nitrous acid,Moderate
Linezolid,Orlistat,No Interaction
Azacitidine,Relugolix,No Interaction
Alendronic acid,Sodium zirconium cyclosilicate,No Interaction
Ibuprofen,Acetylcysteine,Unknown
Ciclesonide,Doxepin,No Interaction
Nateglinide,Ethanol,Moderate
Sunitinib,Tetryzoline (nasal),No Interaction
Paromomycin,Prednicarbate (topical),No Interaction
Diroximel fumarate,Trimethobenzamide,No Interaction
Triflupromazine,Magnesium carbonate,Minor
Clindamycin,Rasagiline,No Interaction
Folic acid,Carbamazepine,Moderate
Zoledronic acid,Iothalamic acid,Major
Tranylcypromine,Promethazine,Moderate
Nitroglycerin,Deferoxamine,Unknown
Physostigmine (ophthalmic),Clomipramine,Moderate
Iohexol,Pegvisomant,No Interaction
Flibanserin,Varicella Zoster Vaccine (Recombinant),No Interaction
Tadalafil,Amyl Nitrite,Major
Glasdegib,Lapatinib,No Interaction
Remifentanil,Tucatinib,No Interaction
Nisoldipine,Trospium,No Interaction
Doxorubicin,Galactose,Unknown
Mephenytoin,Ethanol,Moderate
Alclometasone (topical),Dolutegravir,No Interaction
Colistimethate,Oxymetholone,No Interaction
Amrinone,Conjugated estrogens,No Interaction
Neostigmine,Iopamidol,Major
Amoxapine,Desoximetasone (topical),No Interaction
Tositumomab,Denosumab,Moderate
Budesonide,Insulin human (zinc extended),No Interaction
Apalutamide,Fluorouracil,No Interaction
Prednisolone,Varenicline,Unknown
Leucovorin,Tetracycline,Unknown
Tolbutamide,Insulin aspart (aspart),Moderate
Acetylcholine,Valsartan,No Interaction
Gadoversetamide,Carvedilol,Moderate
Dipivefrin (ophthalmic),Selexipag,No Interaction
Glyburide,Galactose,Unknown
Sulindac,Ioversol,Major
Gadodiamide,Furosemide,Unknown
Grepafloxacin,Magnesium carbonate,Moderate
Folic acid,Sulfasalazine,Minor
Clozapine,Prednisone,No Interaction
Mercaptopurine,Zonisamide,No Interaction
Mirtazapine,Deferasirox,Moderate
Cisapride,Promethazine,Major
Naloxone,Tapentadol,Moderate
Trazodone,Phentolamine,Moderate
Abarelix,Cefditoren,No Interaction
Diazoxide,Tetrabenazine,Moderate
Valdecoxib,Acetylcysteine,Unknown
Piroxicam,Ethanol,Moderate
Polymyxin B,Deferasirox,Major
Moxifloxacin,Prednisolone,Major
Sevelamer,Salbutamol,Unknown
Allopurinol,Mannitol,Unknown
Chlorothiazide,Kanamycin,No Interaction
Folic acid,Olopatadine,Unknown
Bumetanide,Panobinostat,No Interaction
Tositumomab (I-131),Trichophyton mentagrophytes,Moderate
Nadolol,Magnesium carbonate,Minor
Deferasirox,Temsirolimus,Major
Gonadorelin,Ganirelix,Moderate
Cannabidiol,Clobazam,No Interaction
Montelukast,Sevelamer,Unknown
Deferasirox,Iopamidol,Major
Physostigmine (ophthalmic),Methscopolamine,Moderate
Eltrombopag,Mesoridazine,No Interaction
Quinidine,Iopromide,Moderate
Palbociclib,Rosiglitazone,No Interaction
Ergometrine,Deferasirox,Moderate
Nintedanib,Rosuvastatin,No Interaction
Acetazolamide,Iodipamide,Moderate
Lactobacillus acidophilus,Primaquine,No Interaction
Tripelennamine,Ethanol,Moderate
Lutetium Lu 177 dotatate,Vorinostat,No Interaction
Erdafitinib,Telaprevir,No Interaction
Iobenguane (I-131),Pfizer-BioNTech Covid-19 Vaccine,Moderate
Desloratadine,Enzalutamide,No Interaction
Nortriptyline,Diazoxide,Moderate
Prednisolone,Cytarabine,Unknown
Phenylephrine (topical),Methylene blue,Moderate
Thalidomide,Promethazine,Moderate
Mannitol,Metronidazole,Unknown
Fostemsavir,Meningococcal polysaccharide vaccine group C,No Interaction
Doxycycline,Calcium acetate,Moderate
Mirabegron,Oxtriphylline,No Interaction
Ipecac,Protriptyline,No Interaction
Azathioprine,Promethazine,Unknown
Meclofenamic acid,Tapentadol,No Interaction
Dofetilide,Promethazine,Major
Sevelamer,Dihydrotachysterol,Moderate
Indium In-111 pentetreotide,Verapamil,No Interaction
Esmolol,Iodixanol,Moderate
Tolbutamide,Oxymetholone,Moderate
Hydrochlorothiazide,Memantine,No Interaction
Buprenorphine,Cobicistat,Moderate
Calaspargase pegol,Tocainide,No Interaction
Dasatinib,Samarium (153Sm) lexidronam,Major
Nesiritide,Orciprenaline,No Interaction
Interferon alfa-n1,Strontium chloride Sr-89,Moderate
Sevelamer,Mycophenolate mofetil,Moderate
Leucovorin,Fludarabine,Unknown
Dihydroergotamine,Amyl Nitrite,Moderate
Acrivastine,Lopinavir,No Interaction
Asparaginase Erwinia chrysanthemi,Tubocurarine,No Interaction
Azelastine (nasal),Potassium chloride,No Interaction
Insulin human (zinc),Siltuximab,No Interaction
Sildenafil,Tegaserod,No Interaction
Tyropanoic acid,Valsartan,No Interaction
Cabergoline,Phentolamine,Moderate
Docetaxel,Acetylcysteine,Unknown
Abiraterone,Miconazole,No Interaction
Lefamulin,Mephenytoin,No Interaction
Amphetamine,Ibandronate,No Interaction
Interferon alfa-2b,Nizatidine,No Interaction
Etidronic acid,Ioversol,Major
Goserelin,Macimorelin,Major
Edrophonium,Siponimod,Major
Prednisolone,Typhoid vaccine (inactivated),Moderate
Formoterol,Loteprednol (ophthalmic),No Interaction
Dipyridamole,Monomethyl fumarate,No Interaction
Aclidinium,Pentosan polysulfate,No Interaction
Aprepitant,Promethazine,Unknown
Capromab pendetide,Ephedrine (nasal),No Interaction
Desoximetasone (topical),Human botulinum neurotoxin A/B immune globulin,No Interaction
Captopril,Indium In-111 pentetate,No Interaction
Anakinra,Fludrocortisone,No Interaction
Prednisolone,Metoclopramide,Unknown
Promethazine,Rucaparib,Moderate
Afatinib,Hepatitis B Vaccine (Recombinant),No Interaction
Zolpidem,Iopamidol,Unknown
Chlorthalidone,Iopromide,Moderate
Atenolol,Tyropanoic acid,Moderate
Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated),Telbivudine,No Interaction
Levocetirizine,Iodide I-123,Moderate
Benzocaine (topical),Rubella virus vaccine,No Interaction
Baclofen,Trihexyphenidyl,No Interaction
Metamfetamine,Ioflupane I-123,Moderate
Cefprozil,Levonorgestrel,No Interaction
Phenylephrine,Tolbutamide,Moderate
Capsicum,Lansoprazole,No Interaction
Entrectinib,Levacetylmethadol,No Interaction
Felbamate,Oxytetracycline,No Interaction
Halazepam,Ivacaftor,No Interaction
Doxorubicin (liposomal),Pergolide,No Interaction
Diazoxide,Dihydrocodeine,Moderate
Levofloxacin,Magnesium carbonate,Moderate
Sevelamer,Quinapril,Unknown
Chlorzoxazone,Human Rho(D) immune globulin,No Interaction
Diatrizoate,Amikacin,Major
Iobenguane (I-131),Mumps virus strain B level jeryl lynn live antigen,Major
Glycopyrronium,Pamidronic acid,No Interaction
Abemaciclib,Sorbitol,No Interaction
Desonide (topical),Dipivefrin (ophthalmic),No Interaction
Bicalutamide,Trifluoperazine,No Interaction
Lanthanum carbonate,Physostigmine,No Interaction
Metolazone,Iopromide,Moderate
Deferasirox,Upadacitinib,Moderate
Insulin detemir,Pravastatin,No Interaction
Gatifloxacin,Zanubrutinib,No Interaction
Deferasirox,Copanlisib,Moderate
Calcium acetate,Chlorthalidone,Moderate
Rocuronium,Acetylcysteine,Unknown
Timolol (ophthalmic),Iopromide,Moderate
Acetazolamide,Iopamidol,Moderate
Citalopram,Palifermin,No Interaction
Daratumumab,Isoxsuprine,No Interaction
Droxidopa,Famotidine,No Interaction
Burosumab,Pergolide,No Interaction
Chloroquine,Macimorelin,Major
Diethylstilbestrol,Eletriptan,No Interaction
Methylprednisolone (topical),Terbinafine,No Interaction
Microcrystalline cellulose,Palbociclib,No Interaction
Ciprofloxacin,Prednisolone,Major
Magnesium sulfate,Tetracycline,Moderate
Botulinum toxin type A,Triamcinolone (nasal),No Interaction
Prednisolone,Patiromer,Moderate
Eltrombopag,Lacosamide,No Interaction
Raltegravir,Cobicistat,Moderate
Strontium chloride Sr-89,Trastuzumab deruxtecan,Moderate
Prednisolone,Gabapentin,Unknown
Demecarium (ophthalmic),Esterified estrogens,No Interaction
Pindolol,Cobicistat,Moderate
Vincristine,Gadobenic acid,Moderate
Propranolol,Iothalamic acid,Moderate
Promethazine,Guanethidine,Moderate
Brinzolamide,Insulin glargine,No Interaction
Imatinib,Strontium chloride Sr-89,Moderate
Carboplatin,Erdafitinib,No Interaction
Leucovorin,Methylphenobarbital,Moderate
Gonadorelin,Ixazomib,No Interaction
Metolazone,Mannitol,Unknown
Palifermin,Trimetrexate,Moderate
Interferon beta-1a,Iodipamide,No Interaction
Polymyxin B,Iohexol,Major
Diflorasone (topical),Mepyramine,No Interaction
Iodide I-131,Secnidazole,Moderate
Benzylpenicillin (potassium),Sodium citrate,No Interaction
Folic acid,Verapamil,Unknown
Fluvastatin,Pasireotide,No Interaction
Cocaine (nasal),Trimethoprim,No Interaction
Tositumomab,Fluoxetine,Moderate
Dimenhydrinate,Promethazine,Moderate
Levonordefrin,Telbivudine,No Interaction
Leuprolide,Tramadol,No Interaction
Adalimumab,Desoximetasone (topical),No Interaction
Galantamine,Naloxone,No Interaction
Prednisolone,Carboplatin,Unknown
Promethazine,Pimavanserin,Moderate
Calcipotriol (topical),Diroximel fumarate,No Interaction
Tolazamide,Promethazine,Moderate
Aminocaproic acid,Mannitol,Unknown
Lefamulin,Levofloxacin,No Interaction
Oxycodone,Ethanol,Moderate
Ofloxacin,Galactose,Unknown
Cefamandole,Entacapone,No Interaction
Valproic acid,Prednisolone,Unknown
Metformin,Diazoxide,Moderate
Alemtuzumab,Prednisolone,Moderate
Bevacizumab,Samarium (153Sm) lexidronam,Major
Leucovorin,Captopril,Unknown
Clonidine,Galactose,Unknown
Epinephrine (topical),Voxilaprevir,No Interaction
